CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1051309,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,1998.0,22/12/1998,,,,,Park,24/08/2019,"(-37.78187685914473, 144.95278993841796)",-37.781876859144724,144.95278993841796,319719.7,5816412.05
1494521,Chinaberry Tree,Melia azedarach,Melia,Meliaceae,,2011.0,17/10/2011,,,,,Street,24/08/2019,"(-37.803695691624185, 144.94570973964056)",-37.80369569162419,144.94570973964056,319149.36,5813977.22
1570954,English Elm,Ulmus procera,Ulmus,Ulmaceae,,2014.0,20/11/2014,,,,,Street,24/08/2019,"(-37.785380682950276, 144.9667866691299)",-37.78538068295028,144.9667866691299,320960.86,5816050.15
1580515,unknown,Brachychiton x roseus,Brachychiton,Malvaceae,,2015.0,24/04/2015,,,,,Street,24/08/2019,"(-37.79883967497191, 144.9486338118644)",-37.7988396749719,144.94863381186443,319394.98,5814521.73
1052661,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,1999.0,01/04/1999,,,,,Park,24/08/2019,"(-37.78377847756102, 144.9556614348032)",-37.78377847756103,144.95566143480318,319977.21,5816206.57
1022163,Elm,Ulmus unknown,Ulmus,Ulmaceae,115.0,1900.0,02/01/2000,Mature,11-20 years,20.0,,Street,24/08/2019,"(-37.79648109206159, 144.96454057081755)",-37.7964810920616,144.96454057081758,320789.88,5814814.08
1675347,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,,2017.0,14/10/2017,,,,,Park,24/08/2019,"(-37.7917656586432, 144.94889467147877)",-37.7917656586432,144.94889467147874,319400.72,5815307.21
1048577,Golden Locust,Robinia pseudoacacia,Robinia,Fabaceae,,1998.0,15/12/1998,,,,,Park,24/08/2019,"(-37.789592797732524, 144.9473306727514)",-37.78959279773253,144.9473306727514,319257.7,5815545.3
1758244,Canary Island Pine,Pinus canariensis,Pinus,Pinaceae,,2019.0,13/05/2019,,,,,Street,24/08/2019,"(-37.81738637946783, 144.93406745056222)",-37.81738637946783,144.9340674505622,318157.91,5812435.41
1584704,Swamp Sheoak,Casuarina obesa,Casuarina,Casuarinaceae,,2015.0,18/06/2015,,,,,Park,24/08/2019,"(-37.79510462290014, 144.95223562414267)",-37.79510462290014,144.95223562414267,319703.04,5814943.15
